iter	Passed	Remaining
466	758	865
467	760	864
468	762	863
469	764	861
470	766	860
471	768	859
472	769	857
473	770	855
474	772	854
475	774	852
476	776	851
477	777	849
478	779	848
479	781	846
480	783	845
481	785	843
482	787	842
483	788	840
484	790	839
485	792	837
486	794	836
487	796	835
488	798	834
489	800	832
490	802	831
491	804	830
492	805	828
493	807	827
494	809	826
495	811	824
496	813	823
497	815	821
498	817	820
499	818	818
500	820	817
501	822	815
502	824	814
503	826	813
504	828	811
505	830	810
506	832	809
507	834	808
508	836	807
509	838	806
510	841	805
511	843	804
512	845	802
513	847	801
514	849	799
515	850	797
516	852	796
517	854	795
518	856	793
519	858	792
520	860	791
521	862	789
522	864	788
523	867	787
524	869	786
525	871	785
526	873	784
527	875	782
528	877	781
529	879	779
530	881	778
531	883	777
532	885	776
533	887	774
534	889	773
535	891	772
536	893	770
537	896	769
538	898	768
539	900	766
540	902	765
541	904	764
542	905	761
543	907	760
544	909	758
545	911	757
546	913	756
547	914	754
548	916	753
549	919	752
550	921	750
551	923	749
552	924	747
553	927	746
554	929	745
555	931	743
556	933	742
557	935	740
558	937	739
559	939	737
560	941	736
561	942	734
562	944	733
563	946	731
564	948	730
565	950	728
566	952	727
567	954	725
568	956	724
569	958	722
570	960	721
571	962	720
572	964	718
573	966	717
574	968	715
575	970	714
576	972	712
577	974	711
578	976	709
579	976	707
580	978	705
581	980	704
582	982	703
583	985	701
584	987	700
585	989	698
586	991	697
587	993	696
588	995	694
589	997	693
590	999	691
591	1001	690
592	1003	688
593	1005	687
594	1007	686
595	1010	684
596	1012	683
597	1014	681
598	1016	680
599	1018	678
600	1020	677
601	1022	675
602	1024	674
603	1026	673
604	1028	671
605	1031	670
606	1033	669
607	1036	668
608	1038	667
609	1041	665
610	1042	663
611	1044	662
612	1046	660
613	1049	659
614	1050	657
615	1052	656
616	1054	654
617	1056	653
618	1058	651
619	1060	650
620	1062	648
621	1064	646
622	1066	645
623	1068	643
624	1070	642
625	1072	640
626	1074	639
627	1076	637
628	1078	636
629	1080	634
630	1082	633
631	1084	631
632	1086	629
633	1088	628
634	1090	626
635	1092	625
636	1094	623
637	1096	621
638	1098	620
639	1100	618
640	1102	617
641	1104	615
642	1106	614
643	1109	613
644	1111	611
645	1113	610
646	1115	608
647	1117	607
648	1119	605
649	1121	603
650	1123	602
651	1125	600
652	1127	598
653	1129	597
654	1132	596
655	1135	595
656	1138	594
657	1141	593
658	1145	592
659	1148	591
660	1151	590
661	1157	590
662	1160	589
663	1164	589
664	1166	587
665	1168	586
666	1170	584
667	1172	582
668	1175	581
669	1177	579
670	1179	578
671	1181	576
672	1183	574
673	1185	573
674	1187	571
675	1188	569
676	1190	568
677	1193	566
678	1195	564
679	1196	563
680	1199	561
681	1201	560
682	1203	558
683	1206	557
684	1208	555
685	1210	553
686	1212	552
687	1214	550
688	1216	548
689	1218	547
690	1220	545
691	1222	544
692	1224	542
693	1226	540
694	1228	539
695	1230	537
696	1232	535
697	1235	534
698	1237	532
699	1239	531
700	1241	529
701	1242	527
