iter	RMSE
349	46.67033362
350	46.66712879
351	46.66511562
352	46.66216603
353	46.65987403
354	46.65786603
355	46.65573787
356	46.65340577
357	46.65169584
358	46.64948011
359	46.64744013
360	46.64539986
361	46.6439412
362	46.64124037
363	46.63835164
364	46.63610882
365	46.63376094
366	46.63207908
367	46.6289907
368	46.62712498
369	46.62548795
370	46.62290329
371	46.61989383
372	46.6185106
373	46.61675624
374	46.61479551
375	46.61246502
376	46.61073591
377	46.60836226
378	46.60673483
379	46.60368533
380	46.60184111
381	46.60013743
382	46.59869166
383	46.59660696
384	46.5947302
385	46.59272317
386	46.59090996
387	46.58945012
388	46.5872526
389	46.58536582
390	46.58332959
391	46.58109598
392	46.57809983
393	46.57607697
394	46.57395009
395	46.57198287
396	46.56961573
397	46.56838604
398	46.56667417
399	46.56535244
400	46.56280183
401	46.5611779
402	46.56054969
403	46.55712508
404	46.55463576
405	46.55305579
406	46.55098635
407	46.54882856
408	46.54731681
409	46.54583844
410	46.5439212
411	46.5414325
412	46.53996334
413	46.53716346
414	46.5355503
415	46.53394185
416	46.53213755
417	46.53111133
418	46.52919531
419	46.52735892
420	46.52530382
421	46.52440695
422	46.52241053
423	46.51985784
424	46.51793354
425	46.51660418
426	46.51576066
427	46.51398257
428	46.51191901
429	46.51043511
430	46.50861131
431	46.50603745
432	46.50510091
433	46.50417469
434	46.50227042
435	46.50050319
436	46.49905165
437	46.49761696
438	46.49574637
439	46.49462604
440	46.49312625
441	46.49150273
442	46.49052845
443	46.48929291
444	46.48739994
445	46.48567117
446	46.48446132
447	46.48326935
448	46.48106992
449	46.4789598
450	46.47740826
451	46.47626268
452	46.47532326
453	46.47421575
454	46.47286473
455	46.47181798
456	46.46955823
457	46.46746856
458	46.46521756
459	46.46416647
460	46.46224124
461	46.46118872
462	46.45917328
463	46.4579564
464	46.4563544
465	46.45432405
466	46.45348977
467	46.45097631
468	46.44961102
469	46.448347
470	46.44722057
471	46.4463294
472	46.44540599
473	46.44516064
474	46.44438645
475	46.44294265
476	46.44172998
477	46.43924674
478	46.43776611
479	46.43610892
480	46.43503121
481	46.43319531
482	46.43179045
483	46.43068262
484	46.42863835
485	46.42688672
486	46.42592887
487	46.42434712
488	46.42364529
489	46.42175274
490	46.42078737
491	46.41957553
492	46.41831143
493	46.41735946
494	46.41583815
495	46.4140077
496	46.41246118
497	46.41194926
498	46.41088264
499	46.40897935
500	46.40742144
501	46.40629735
502	46.40502384
503	46.40419221
504	46.4026015
505	46.40200351
506	46.4002352
507	46.39843542
508	46.39725817
509	46.39552429
510	46.39361149
511	46.39243596
512	46.39163233
513	46.39074245
514	46.38929248
515	46.38821048
516	46.38671863
517	46.38521758
518	46.38423264
519	46.38352832
520	46.38280663
521	46.38221827
522	46.38072893
523	46.37944016
524	46.37822432
525	46.37686103
526	46.37561337
527	46.37403288
528	46.37311905
529	46.37210018
530	46.37050382
531	46.36901085
532	46.36782448
533	46.36652987
534	46.36558864
535	46.36454639
536	46.36333672
537	46.3617736
538	46.36080995
539	46.35962246
540	46.35870341
541	46.35679476
542	46.35673759
543	46.35586478
544	46.35516412
545	46.35430937
546	46.35301284
547	46.35207429
548	46.35077898
549	46.34940984
550	46.34797451
551	46.34740229
552	46.34634165
553	46.34571213
554	46.34453218
555	46.34384311
556	46.34295291
557	46.34171312
558	46.34032311
559	46.33954928
560	46.33883016
561	46.33862736
562	46.33699033
563	46.33642767
564	46.3355405
565	46.33410636
566	46.33345848
567	46.33211898
568	46.33130343
569	46.33066519
570	46.32883499
571	46.32824899
572	46.32752066
573	46.32681158
574	46.32637004
575	46.32554461
576	46.32377773
577	46.3226886
578	46.32100661
579	46.3209908
580	46.31964021
581	46.31831112
582	46.31666069
583	46.31587375
584	46.3153775
585	46.31450136
586	46.31299793
587	46.31173065
588	46.31109823
589	46.31062167
590	46.30965673
591	46.30894862
592	46.30807608
593	46.30708892
594	46.30597591
595	46.30513526
596	46.30422169
597	46.30316595
598	46.3020506
599	46.30134737
600	46.29972233
601	46.29916381
602	46.29840563
603	46.29647963
604	46.29439904
605	46.2928067
606	46.29210469
607	46.29118871
608	46.29000208
609	46.28907732
610	46.28813224
611	46.28761765
612	46.2865599
613	46.28570128
614	46.28472112
615	46.28431313
616	46.28367565
617	46.28269038
618	46.28218951
619	46.28149483
620	46.28089515
621	46.27996958
622	46.27930416
623	46.27860731
624	46.27777063
625	46.2756907
626	46.27501995
627	46.27449353
628	46.27385225
629	46.27325627
630	46.2725612
631	46.27129773
632	46.27071449
633	46.27005676
634	46.26843236
635	46.267502
636	46.26703643
637	46.26621539
638	46.26510471
639	46.26419978
640	46.26369899
641	46.26258383
642	46.26191992
643	46.26081886
644	46.26025231
645	46.25970451
646	46.2587786
647	46.25806248
648	46.25748196
649	46.25676574
650	46.25558054
651	46.25474412
652	46.25403528
653	46.25277996
654	46.25179635
655	46.25069965
656	46.25005188
657	46.24875691
658	46.24695519
659	46.24584106
660	46.24517221
661	46.24395373
662	46.24366672
663	46.24276267
664	46.2413929
665	46.24070663
666	46.23967428
667	46.23936509
668	46.23849204
669	46.23753636
670	46.23636733
671	46.23581476
672	46.23439062
673	46.23372851
674	46.23286401
675	46.23071392
676	46.22960286
677	46.22883817
678	46.22812086
679	46.2266193
680	46.2252642
681	46.22453848
682	46.22389784
683	46.22351571
684	46.22294452
685	46.22163451
686	46.22071729
687	46.22009255
688	46.21956548
689	46.21880763
690	46.21773143
691	46.21668552
692	46.21543744
693	46.21479089
694	46.21339716
695	46.21263321
696	46.21193208
697	46.21141666
698	46.21074935
699	46.20976645
700	46.20902123
701	46.20830918
702	46.20719697
703	46.20603967
704	46.20506431
705	46.2046932
706	46.20426246
707	46.20369074
708	46.2031944
709	46.2021087
710	46.20014219
711	46.19980245
712	46.19912687
713	46.19848156
714	46.1981496
715	46.19750865
716	46.19653554
717	46.19537545
718	46.19455014
719	46.19391074
720	46.193697
721	46.19331034
722	46.19262345
723	46.19189223
724	46.19128838
725	46.19062009
726	46.18988708
727	46.18949776
728	46.18868115
729	46.18773082
730	46.18694199
731	46.18602582
732	46.18513249
733	46.18456246
734	46.18377214
735	46.18308555
736	46.18243107
737	46.18231256
738	46.18208321
739	46.18140106
740	46.18094385
741	46.18016759
742	46.17962358
743	46.17896005
744	46.17800829
745	46.17770977
746	46.17718686
747	46.1771588
748	46.17666415
749	46.1755081
750	46.17453315
751	46.17309763
752	46.17234175
753	46.17129169
754	46.17096958
755	46.1697201
756	46.16924505
757	46.16855453
758	46.16819952
759	46.16780178
760	46.16732735
761	46.16645679
762	46.16588232
763	46.16520938
764	46.16459475
765	46.16318219
766	46.16266054
767	46.1620197
768	46.16142593
769	46.16083947
770	46.1596379
771	46.15874042
772	46.15808147
773	46.15757694
774	46.15714201
775	46.15632741
776	46.15567468
777	46.1550267
778	46.15379915
779	46.15294477
780	46.15220244
781	46.15181408
782	46.15098759
783	46.1500702
784	46.14960325
785	46.14886229
786	46.14740057
787	46.14650647
788	46.14610753
789	46.14546776
790	46.14485591
791	46.14386821
792	46.14274345
793	46.14251783
794	46.1414836
795	46.14135305
796	46.14045043
797	46.13966103
798	46.1392805
799	46.13866896
800	46.13819449
801	46.1377144
802	46.13626679
803	46.13566604
804	46.13495939
805	46.13455263
806	46.13380646
807	46.13304242
808	46.13258718
809	46.13199057
810	46.13114931
811	46.12989699
812	46.12926807
813	46.12888459
814	46.12879296
815	46.12831168
816	46.12760238
817	46.12704951
818	46.12569823
819	46.12471241
820	46.12419869
821	46.12383736
822	46.12342419
823	46.12283975
824	46.12147687
825	46.12072654
826	46.12035935
827	46.12009526
828	46.11968981
829	46.11903557
830	46.11869477
831	46.11757062
832	46.117198
833	46.11709373
834	46.11630872
835	46.11570028
836	46.11428652
837	46.11397507
838	46.11323642
839	46.11288388
840	46.11244676
841	46.11199884
842	46.11159238
843	46.11101624
844	46.11055433
845	46.1099513
846	46.10886676
847	46.108033
848	46.10768941
849	46.10717134
850	46.10663718
851	46.10599608
852	46.10568947
853	46.10485852
854	46.10344084
855	46.10227229
856	46.10167127
857	46.10138834
858	46.10086711
859	46.10043522
860	46.0996963
861	46.09906547
862	46.09846041
863	46.0974644
864	46.09695604
865	46.09646264
866	46.09591263
867	46.0947497
868	46.09373047
869	46.09324068
870	46.09273682
871	46.09249249
872	46.09168788
873	46.09136324
874	46.09107502
875	46.09002315
876	46.0899718
877	46.08964178
878	46.08853923
879	46.08827358
880	46.08775348
881	46.08662815
882	46.08627611
883	46.08566847
884	46.08391264
885	46.08299107
886	46.08254928
887	46.08224163
888	46.08123317
889	46.0799884
890	46.07960444
891	46.07895109
892	46.0781758
893	46.07790376
894	46.07709122
895	46.076602
896	46.07573008
897	46.07508443
898	46.07467322
899	46.07383605
900	46.0733962
901	46.07282046
902	46.07190865
903	46.07140063
904	46.07112009
905	46.07067817
906	46.06983844
907	46.06875613
908	46.0679461
909	46.06716699
910	46.06658406
911	46.06591989
912	46.06505916
913	46.06486926
914	46.06457429
915	46.06367458
916	46.063149
917	46.06254899
918	46.06169765
919	46.0610627
920	46.06059702
921	46.05996921
922	46.05975105
923	46.05944214
924	46.05896017
925	46.05799577
926	46.05736828
927	46.05687646
928	46.05650594
929	46.05610179
930	46.05532684
931	46.05453561
932	46.05393087
933	46.05330888
934	46.05283862
935	46.05200658
936	46.05113891
937	46.05076458
938	46.04990938
939	46.0492758
940	46.04885375
941	46.04839082
942	46.04759844
943	46.04698382
944	46.0463547
945	46.04553423
946	46.04485483
947	46.04405927
948	46.0433526
949	46.04308624
950	46.04255434
951	46.04200557
952	46.0415871
953	46.04091971
954	46.0402638
955	46.03993945
956	46.03884326
957	46.03828208
958	46.03802089
959	46.03678424
960	46.03632726
961	46.03573065
962	46.03505464
963	46.03449122
964	46.0338348
965	46.03331383
966	46.03266233
967	46.03225054
968	46.0317999
969	46.03070339
970	46.03031669
971	46.02976506
972	46.02925546
973	46.02878082
974	46.0282225
975	46.02767518
976	46.02699872
977	46.02651884
978	46.02589654
979	46.02523321
980	46.02479577
981	46.02408689
982	46.02348049
983	46.02274324
984	46.02240408
985	46.02190197
986	46.02106974
987	46.01996919
988	46.01940649
989	46.01889165
990	46.0180834
991	46.01723195
992	46.01676986
993	46.01633922
994	46.01481642
995	46.01392319
996	46.01327342
997	46.01272804
998	46.01207733
999	46.01165426
